player_name,age,player_height,player_weight,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,nb_saisons,country,is_french,is_european,continent
Gary Grant,34.0,190.5,83.91,14.25,3.8,1.15,1.5,-1.9,0.01,0.09,0.21,0.53,0.2,4,USA,False,False,Amérique du Nord
Gary Harris,24.0,193.04,95.25,57.33,11.19,2.39,1.94,-1.86,0.02,0.07,0.17,0.55,0.1,9,USA,False,False,Amérique du Nord
Gary Neal,29.0,193.04,95.25,50.29,8.8,1.91,1.49,-3.8,0.01,0.1,0.22,0.49,0.13,7,USA,False,False,Amérique du Nord
Gary Payton,33.0,193.04,82.88,76.82,17.4,4.21,6.93,2.84,0.03,0.1,0.23,0.52,0.32,11,USA,False,False,Amérique du Nord
Gary Payton II,27.0,190.14,87.48,23.43,4.01,2.16,1.21,0.83,0.05,0.13,0.15,0.61,0.15,7,USA,False,False,Amérique du Nord
Gary Trent,25.5,203.2,113.4,54.62,9.41,4.72,1.12,-4.21,0.1,0.17,0.22,0.52,0.09,8,USA,False,False,Amérique du Nord
Gary Trent Jr.,22.0,196.09,94.44,54.0,12.52,2.04,1.26,-1.34,0.01,0.07,0.2,0.52,0.07,5,USA,False,False,Amérique du Nord
Gaylon Nickerson,28.0,190.5,86.18,4.0,3.8,1.3,0.3,8.9,0.03,0.11,0.17,0.5,0.04,1,USA,False,False,Amérique du Nord
Geno Carlisle,28.0,190.5,90.72,6.0,1.3,0.2,0.2,-27.7,0.07,0.0,0.18,0.71,0.11,1,USA,False,False,Amérique du Nord
George Hill,30.0,190.16,84.37,61.0,10.39,2.95,3.09,5.09,0.02,0.09,0.17,0.57,0.18,15,USA,False,False,Amérique du Nord
George Lynch,30.0,203.2,104.48,63.44,6.54,5.42,1.63,-0.47,0.09,0.16,0.15,0.47,0.11,9,USA,False,False,Amérique du Nord
George McCloud,32.5,203.2,102.06,66.33,9.13,3.32,2.42,-2.62,0.04,0.12,0.18,0.52,0.15,6,USA,False,False,Amérique du Nord
George Zidek,23.5,213.36,116.57,32.0,2.6,1.55,0.25,-13.2,0.09,0.18,0.23,0.45,0.06,2,USA,False,False,Amérique du Nord
Georges Niang,27.0,201.02,104.39,54.71,5.16,1.8,0.7,-2.06,0.03,0.13,0.17,0.52,0.09,7,USA,False,False,Amérique du Nord
Georgios Kalaitzakis,23.0,200.66,87.09,13.0,6.6,1.6,0.9,-29.3,0.03,0.07,0.2,0.54,0.09,1,Greece,False,True,Europe
Georgios Papagiannis,19.5,215.9,108.86,19.5,3.85,3.05,0.7,-4.95,0.1,0.2,0.17,0.5,0.09,2,Greece,False,True,Europe
Gerald Brown,23.0,193.04,95.25,33.0,2.4,0.7,0.9,-12.1,0.02,0.08,0.23,0.42,0.23,1,USA,False,False,Amérique du Nord
Gerald Fitch,23.0,190.5,85.28,18.0,4.7,1.7,1.8,0.3,0.03,0.1,0.22,0.42,0.23,1,USA,False,False,Amérique du Nord
Gerald Green,26.83,202.35,92.61,54.83,9.11,2.43,0.85,-1.24,0.03,0.12,0.23,0.53,0.08,12,USA,False,False,Amérique du Nord
Gerald Henderson,25.5,195.26,97.52,66.88,10.85,3.12,1.81,-4.39,0.03,0.12,0.21,0.51,0.12,8,USA,False,False,Amérique du Nord
Gerald Madkins,29.0,193.04,90.72,19.0,1.9,0.8,2.4,-2.8,0.01,0.06,0.09,0.5,0.31,1,USA,False,False,Amérique du Nord
Gerald Wallace,25.5,200.66,98.82,59.43,10.85,5.36,1.91,-0.24,0.06,0.16,0.18,0.52,0.11,14,USA,False,False,Amérique du Nord
Gerald Wilkins,34.0,198.12,96.01,51.67,5.53,1.27,1.2,-5.13,0.01,0.06,0.2,0.33,0.11,3,USA,False,False,Amérique du Nord
Gerard King,27.0,205.74,107.35,42.0,3.77,2.53,0.57,-1.5,0.08,0.16,0.16,0.54,0.09,3,USA,False,False,Amérique du Nord
Gheorghe Muresan,27.5,231.14,137.44,51.5,7.05,4.45,0.35,5.85,0.1,0.19,0.19,0.55,0.04,2,USA,False,False,Amérique du Nord
Gian Clavell,24.0,193.04,83.91,7.0,2.9,1.0,0.4,14.8,0.02,0.1,0.15,0.53,0.07,1,Puerto Rico,False,False,Amérique du Sud
Giannis Antetokounmpo,24.5,210.64,105.23,71.83,24.49,10.12,5.02,5.57,0.06,0.24,0.29,0.6,0.25,12,Greece,False,True,Europe
Gigi Datome,26.5,203.2,97.52,27.5,3.7,1.4,0.35,10.8,0.04,0.15,0.21,0.5,0.07,2,Italy,False,True,Europe
Gilbert Arenas,25.0,192.12,93.36,50.18,18.36,3.75,5.41,-0.95,0.02,0.1,0.26,0.53,0.27,11,USA,False,False,Amérique du Nord
Glen Davis,25.5,205.74,131.09,64.25,8.41,4.54,0.95,-0.16,0.08,0.16,0.2,0.5,0.07,8,USA,False,False,Amérique du Nord
Glen Rice,31.5,202.18,98.88,45.9,12.09,3.0,1.51,-0.97,0.03,0.11,0.21,0.5,0.1,10,USA,False,False,Amérique du Nord
Glenn Robinson,28.0,200.66,105.59,58.44,19.32,5.62,2.39,-1.1,0.04,0.14,0.28,0.52,0.13,9,USA,False,False,Amérique du Nord
Glenn Robinson III,24.0,199.21,100.24,43.43,5.33,2.24,0.73,-4.24,0.04,0.1,0.14,0.53,0.07,7,USA,False,False,Amérique du Nord
God Shammgod,22.0,182.88,76.66,20.0,3.1,0.4,1.8,-5.9,0.01,0.04,0.26,0.43,0.42,1,USA,False,False,Amérique du Nord
Goga Bitadze,22.2,212.36,113.32,50.8,5.54,3.64,0.96,0.52,0.09,0.17,0.16,0.57,0.1,5,Georgia,False,True,Europe
Goran Dragic,30.0,190.84,85.88,63.07,12.78,2.95,4.56,0.83,0.03,0.09,0.22,0.54,0.27,15,Slovenia,False,True,Europe
Gordan Giricek,28.5,196.85,97.37,64.0,9.43,2.35,1.5,-1.3,0.02,0.1,0.21,0.52,0.12,6,Croatia,False,True,Europe
Gordon Hayward,27.0,202.42,100.31,60.31,14.58,4.3,3.31,2.63,0.02,0.13,0.21,0.56,0.16,13,USA,False,False,Amérique du Nord
Gorgui Dieng,28.5,209.8,111.36,62.8,6.85,5.26,1.31,-6.04,0.09,0.22,0.17,0.57,0.12,10,Senegal,False,False,Afrique
Grant Hill,32.06,203.2,102.06,54.75,15.42,5.6,3.83,2.22,0.04,0.16,0.22,0.54,0.2,16,USA,False,False,Amérique du Nord
Grant Jerrett,21.0,208.28,105.23,8.0,2.0,1.1,0.4,-22.3,0.03,0.16,0.25,0.3,0.09,1,USA,False,False,Amérique du Nord
Grant Long,34.0,205.74,112.23,52.86,5.31,4.06,1.04,-1.37,0.07,0.15,0.13,0.5,0.08,7,USA,False,False,Amérique du Nord
